Date,Open,High,Low,Close,Volume
11/01/2019 20:00:00,1.1276,1.1284,1.1276,1.1283,2485
11/01/2019 21:00:00,1.1282,1.1282,1.1282,1.1282,13
11/01/2019 22:00:00,1.1274,1.1282,1.1274,1.1282,67
13/01/2019 19:00:00,1.1282,1.1282,1.1279,1.1281,26
13/01/2019 20:00:00,1.1281,1.1285,1.1281,1.1282,85
13/01/2019 21:00:00,1.1281,1.1286,1.1275,1.1281,6934
13/01/2019 22:00:00,1.1281,1.1283,1.1274,1.1277,3237
13/01/2019 23:00:00,1.1277,1.1282,1.1276,1.1279,1274
14/01/2019 00:00:00,1.1279,1.1285,1.1278,1.128,1422
14/01/2019 01:00:00,1.1281,1.1281,1.1276,1.1277,1700
14/01/2019 02:00:00,1.1277,1.1279,1.1275,1.1278,2401
14/01/2019 03:00:00,1.1278,1.1283,1.1278,1.1282,1702
14/01/2019 04:00:00,1.1283,1.1287,1.1282,1.1285,2242
14/01/2019 05:00:00,1.1285,1.1287,1.128,1.1285,2560
14/01/2019 06:00:00,1.1285,1.1288,1.1275,1.1284,11028
14/01/2019 07:00:00,1.1284,1.1285,1.1273,1.1273,9874
14/01/2019 08:00:00,1.1273,1.1274,1.1263,1.1265,9267
14/01/2019 09:00:00,1.1265,1.1267,1.1254,1.1267,10017
14/01/2019 10:00:00,1.1266,1.1267,1.1252,1.1258,13053
14/01/2019 11:00:00,1.1258,1.1261,1.1256,1.126,11330
14/01/2019 12:00:00,1.126,1.1261,1.1255,1.1258,12145
14/01/2019 13:00:00,1.1258,1.1259,1.1251,1.1254,10610
14/01/2019 14:00:00,1.1254,1.1256,1.1247,1.1249,15129
14/01/2019 15:00:00,1.1249,1.1256,1.1247,1.1256,11791
14/01/2019 16:00:00,1.1256,1.1257,1.1247,1.125,4865
14/01/2019 17:00:00,1.125,1.1261,1.1248,1.1257,4159
14/01/2019 18:00:00,1.1257,1.1258,1.1251,1.1252,4746
14/01/2019 19:00:00,1.1252,1.1253,1.1249,1.1253,3081
